location_id,casualties,fatalities,year,position_id,day_bool,crashtype_id,dui_bool,drugs_bool
SEDAN,1,0,2016,Not Divided,TRUE,Left Road - Out of Control,FALSE,FALSE
GOOLWA BEACH,1,0,2016,Not Divided,TRUE,Rear End,FALSE,FALSE
FRANCES,2,0,2016,Not Divided,TRUE,Side Swipe,FALSE,FALSE
STRATHALBYN,1,0,2016,Not Divided,TRUE,Rear End,TRUE,FALSE
ST MORRIS,1,0,2016,Cross Road,TRUE,Right Turn,FALSE,FALSE
ROSSLYN PARK,1,0,2016,Cross Road,TRUE,Right Angle,FALSE,FALSE
SNOWTOWN,1,0,2016,Cross Road,TRUE,Rear End,FALSE,FALSE
IRONBANK,1,0,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
INGLE FARM,2,0,2016,Divided Road,TRUE,Head On,FALSE,FALSE
MOUNT BARKER,1,0,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
SEDAN,1,0,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
PARADISE,2,0,2016,Other,TRUE,Rear End,FALSE,FALSE
STURT,1,0,2016,T-Junction,FALSE,Right Angle,FALSE,FALSE
CHANDLERS HILL,1,0,2016,T-Junction,FALSE,Hit Fixed Object,FALSE,FALSE
MURRAY BRIDGE,1,0,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
RICHMOND,1,0,2016,Divided Road,TRUE,Hit Fixed Object,FALSE,FALSE
ADELAIDE,1,0,2016,Cross Road,FALSE,Hit Pedestrian,TRUE,FALSE
FINDON,1,0,2016,T-Junction,TRUE,Hit Pedestrian,FALSE,FALSE
NANGWARRY,1,0,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
PORT ELLIOT,1,0,2016,Not Divided,FALSE,Hit Fixed Object,TRUE,FALSE
DOWLINGVILLE,1,0,2016,Not Divided,TRUE,Hit Pedestrian,FALSE,FALSE
MAITLAND,2,0,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
